Tue Mar 28 21:34:09 EDT 2017 |  coup M : g8f6
Tue Mar 28 21:34:35 EDT 2017 |  coup(joue) H : a1a5
Tue Mar 28 21:34:35 EDT 2017 |  coup(inscrit) H : a1a5
Tue Mar 28 21:34:35 EDT 2017 |  coup M : g8f6
Tue Mar 28 21:34:57 EDT 2017 |  coup(joue) H : a1a5
Tue Mar 28 21:34:57 EDT 2017 |  coup(inscrit) H : a1a5
Tue Mar 28 21:34:57 EDT 2017 |  coup M : g8f6
Tue Mar 28 21:41:26 EDT 2017 |  coup(joue) H : a5g5
Tue Mar 28 21:41:26 EDT 2017 |  coup(inscrit) H : a5g5
Tue Mar 28 21:41:26 EDT 2017 |  coup M : f6e4
Tue Mar 28 21:47:04 EDT 2017 |  coup(joue) H : a1a4
Tue Mar 28 21:47:04 EDT 2017 |  coup(inscrit) H : a1a4
Tue Mar 28 21:47:04 EDT 2017 |  coup M : g8f6
Tue Mar 28 21:47:39 EDT 2017 |  coup(joue) H : a1a5
Tue Mar 28 21:47:39 EDT 2017 |  coup(inscrit) H : a1a5
Tue Mar 28 21:47:39 EDT 2017 |  coup M : g8f6
Tue Mar 28 21:48:12 EDT 2017 |  coup(joue) H : a1a4
Tue Mar 28 21:48:12 EDT 2017 |  coup(inscrit) H : a1a4
Tue Mar 28 21:48:35 EDT 2017 |  coup(joue) H : a1a4
Tue Mar 28 21:48:35 EDT 2017 |  coup(inscrit) H : a1a4
Tue Mar 28 21:48:35 EDT 2017 |  coup M : g8f6
Tue Mar 28 21:48:55 EDT 2017 |  coup(joue) H : a1a4
Tue Mar 28 21:48:55 EDT 2017 |  coup(inscrit) H : a1a4
Tue Mar 28 21:48:55 EDT 2017 |  coup M : g8f6
Tue Mar 28 21:49:38 EDT 2017 |  coup(joue) H : a1a4
Tue Mar 28 21:49:38 EDT 2017 |  coup(inscrit) H : a1a4
Tue Mar 28 21:49:38 EDT 2017 |  coup M : g8f6
Wed Mar 29 14:47:51 EDT 2017 |  coup(joue) H : a1a4
Wed Mar 29 14:47:51 EDT 2017 |  coup(inscrit) H : a1a4
Wed Mar 29 14:47:51 EDT 2017 |  coup M : g8f6
Wed Mar 29 14:48:34 EDT 2017 |  coup(joue) H : a1a4
Wed Mar 29 14:48:34 EDT 2017 |  coup(inscrit) H : a1a4
Wed Mar 29 14:48:34 EDT 2017 |  coup M : g8f6
Wed Mar 29 14:54:24 EDT 2017 |  coup(joue) H : a1a4
Wed Mar 29 14:54:24 EDT 2017 |  coup(inscrit) H : a1a4
Wed Mar 29 14:54:24 EDT 2017 |  coup M : g8f6
Wed Mar 29 14:54:48 EDT 2017 |  coup(joue) H : a2a4
Wed Mar 29 14:54:48 EDT 2017 |  coup(inscrit) H : a2a4
Wed Mar 29 14:54:48 EDT 2017 |  coup M : g8f6
Wed Mar 29 14:55:29 EDT 2017 |  coup(joue) H : a1a5
Wed Mar 29 14:55:29 EDT 2017 |  coup(inscrit) H : a1a5
Wed Mar 29 14:55:29 EDT 2017 |  coup M : g8f6
Wed Mar 29 15:00:42 EDT 2017 |  coup(joue) H : a1a4
Wed Mar 29 15:00:42 EDT 2017 |  coup(inscrit) H : a1a4
Wed Mar 29 15:00:42 EDT 2017 |  coup M : g8f6
Wed Mar 29 15:02:17 EDT 2017 |  coup(joue) H : a1a5
Wed Mar 29 15:02:17 EDT 2017 |  coup(inscrit) H : a1a5
Wed Mar 29 15:02:17 EDT 2017 |  coup M : g8f6
Wed Mar 29 15:02:50 EDT 2017 |  coup(joue) H : a1a5
Wed Mar 29 15:02:51 EDT 2017 |  coup(inscrit) H : a1a5
Wed Mar 29 15:02:51 EDT 2017 |  coup M : g8f6
Wed Mar 29 15:04:59 EDT 2017 |  coup(joue) H : a1a4
Wed Mar 29 15:04:59 EDT 2017 |  coup(inscrit) H : a1a4
Wed Mar 29 15:04:59 EDT 2017 |  coup M : g8f6
Wed Mar 29 15:05:58 EDT 2017 |  coup(joue) H : a1a4
Wed Mar 29 15:05:58 EDT 2017 |  coup(inscrit) H : a1a4
Wed Mar 29 15:05:58 EDT 2017 |  coup M : g8f6
Wed Mar 29 15:06:37 EDT 2017 |  coup(joue) H : a1a4
Wed Mar 29 15:06:37 EDT 2017 |  coup(inscrit) H : a1a4
Wed Mar 29 15:06:37 EDT 2017 |  coup M : g8f6
Wed Mar 29 15:07:37 EDT 2017 |  coup(joue) H : a1a5
Wed Mar 29 15:07:37 EDT 2017 |  coup(inscrit) H : a1a5
Wed Mar 29 15:07:37 EDT 2017 |  coup M : g8f6
Wed Mar 29 15:09:51 EDT 2017 |  coup(joue) H : a1a4
Wed Mar 29 15:09:51 EDT 2017 |  coup(inscrit) H : a1a4
Wed Mar 29 15:09:51 EDT 2017 |  coup M : g8f6
Wed Mar 29 15:11:19 EDT 2017 |  coup(joue) H : a1a4
Wed Mar 29 15:11:19 EDT 2017 |  coup(inscrit) H : a1a4
Wed Mar 29 15:11:19 EDT 2017 |  coup M : g8f6
Wed Mar 29 15:11:42 EDT 2017 |  coup(joue) H : a1a3
Wed Mar 29 15:11:42 EDT 2017 |  coup(inscrit) H : a1a3
